epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,5829.89,0.6833,0.42724,1.07202,0.97903,0.975,0.98695,0.64484,1.2426,0.55731,1.69304,0.00053225,0.00053225,0.00053225
60,5919.69,0.7062,0.4278,1.09277,0.94185,0.99133,0.99329,0.63933,1.20102,0.55713,1.66111,0.000519875,0.000519875,0.000519875
61,6005.12,0.68086,0.42964,1.08433,0.96422,0.97841,0.98942,0.62054,1.23841,0.5526,1.6734,0.0005075,0.0005075,0.0005075
62,6115.52,0.68077,0.42199,1.07516,0.97627,0.9782,0.99272,0.6116,1.31708,0.55692,1.76841,0.000495125,0.000495125,0.000495125
63,6216,0.70474,0.42622,1.11985,0.97272,0.9729,0.98921,0.60996,1.29971,0.56998,1.76715,0.00048275,0.00048275,0.00048275
64,6317.65,0.70106,0.42822,1.1128,0.96778,0.9942,0.99453,0.61608,1.30907,0.56435,1.74707,0.000470375,0.000470375,0.000470375
65,6405.65,0.69229,0.4288,1.09768,0.97371,0.96637,0.99193,0.62079,1.30078,0.57251,1.73106,0.000458,0.000458,0.000458
66,6511.06,0.69901,0.42121,1.08869,0.95542,0.99343,0.99221,0.63395,1.24374,0.55942,1.70006,0.000445625,0.000445625,0.000445625
67,6604.81,0.7,0.4214,1.0989,0.9231,0.99374,0.98962,0.62527,1.26888,0.56544,1.73234,0.00043325,0.00043325,0.00043325
68,6715.25,0.66218,0.40428,1.07662,0.94941,0.98771,0.99222,0.63336,1.25786,0.53777,1.7079,0.000420875,0.000420875,0.000420875
69,6805.3,0.66803,0.40178,1.07285,0.96912,0.95362,0.98566,0.63229,1.25298,0.52989,1.70563,0.0004085,0.0004085,0.0004085
70,6912.98,0.71218,0.4108,1.09723,0.94633,0.96647,0.9839,0.644,1.22964,0.54958,1.72463,0.000396125,0.000396125,0.000396125
71,7004.58,0.664,0.38841,1.06044,0.93274,0.97898,0.98591,0.64402,1.24014,0.55381,1.73222,0.00038375,0.00038375,0.00038375
72,7141.04,0.666,0.39085,1.07496,0.9748,0.98956,0.995,0.64324,1.21313,0.54107,1.70202,0.000371375,0.000371375,0.000371375
73,7268.3,0.64924,0.39409,1.07818,0.97305,0.99652,0.99452,0.63051,1.22013,0.533,1.69578,0.000359,0.000359,0.000359
74,7357.59,0.62613,0.38476,1.06788,0.95146,0.99143,0.98602,0.62923,1.25624,0.52423,1.69428,0.000346625,0.000346625,0.000346625
75,7441.06,0.63673,0.3714,1.03646,0.96105,0.98516,0.98594,0.6283,1.26451,0.52864,1.70075,0.00033425,0.00033425,0.00033425
76,7537.75,0.66353,0.39868,1.09269,0.96277,0.98274,0.98664,0.62735,1.29238,0.53456,1.73082,0.000321875,0.000321875,0.000321875
77,7636.56,0.645,0.38553,1.04996,0.98061,0.99003,0.99476,0.63817,1.29161,0.52581,1.73509,0.0003095,0.0003095,0.0003095
78,7730.85,0.66959,0.39701,1.07949,0.98672,1,0.995,0.62736,1.2836,0.51691,1.73137,0.000297125,0.000297125,0.000297125
79,7831.87,0.64988,0.38229,1.05646,0.98246,0.99406,0.99476,0.62744,1.28939,0.52299,1.73709,0.00028475,0.00028475,0.00028475
80,7931.46,0.63186,0.39076,1.06837,0.97103,0.97559,0.99476,0.63194,1.27659,0.53282,1.72162,0.000272375,0.000272375,0.000272375
81,8020.79,0.647,0.37681,1.05714,0.9529,1,0.99428,0.63368,1.24403,0.53338,1.69347,0.00026,0.00026,0.00026
