                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.73952,                0.36983,                0.98505,                0.99352,                      1,                  0.995,                0.75245,                 1.0075,                0.40629,                 1.1753,                0.00026,                0.00026,                0.00026
                     82,                0.76111,                0.37913,                 1.0056,                0.99304,                      1,                  0.995,                 0.7521,                0.99815,                0.41607,                 1.1707,             0.00024762,             0.00024762,             0.00024762
                     83,                0.73658,                0.36104,                0.99148,                0.99364,                      1,                  0.995,                0.75331,                0.99682,                0.40938,                 1.1737,             0.00023525,             0.00023525,             0.00023525
                     84,                0.73515,                 0.3559,                0.98048,                0.99421,                      1,                  0.995,                0.75363,                 1.0053,                0.40684,                  1.178,             0.00022288,             0.00022288,             0.00022288
                     85,                0.73679,                0.36997,                0.99829,                0.99319,                      1,                  0.995,                0.73849,                 1.0238,                0.42606,                 1.1818,              0.0002105,              0.0002105,              0.0002105
                     86,                0.74711,                 0.3668,                0.98728,                0.99162,                      1,                  0.995,                0.74894,                 1.0142,                0.40224,                  1.167,             0.00019813,             0.00019813,             0.00019813
                     87,                0.71793,                0.35513,                0.97836,                0.99166,                      1,                  0.995,                0.74974,                0.99894,                0.40274,                  1.167,             0.00018575,             0.00018575,             0.00018575
                     88,                0.72922,                0.36053,                0.97541,                 0.9925,                      1,                  0.995,                0.76231,                0.98279,                  0.387,                 1.1622,             0.00017338,             0.00017338,             0.00017338
                     89,                0.70921,                0.35214,                 0.9753,                0.99363,                      1,                  0.995,                0.76735,                0.96478,                0.37565,                 1.1447,               0.000161,               0.000161,               0.000161
                     90,                0.70811,                0.35263,                0.95694,                0.99377,                      1,                  0.995,                0.76967,                0.97487,                0.37149,                 1.1482,             0.00014862,             0.00014862,             0.00014862
                     91,                0.69166,                0.34521,                0.98613,                0.99296,                      1,                  0.995,                0.75701,                0.98296,                0.37471,                 1.1591,             0.00013625,             0.00013625,             0.00013625
                     92,                0.69075,                0.35234,                0.99728,                0.99216,                      1,                  0.995,                0.75452,                 0.9961,                0.37713,                 1.1773,             0.00012387,             0.00012387,             0.00012387
                     93,                0.69141,                0.34215,                0.98242,                0.99221,                      1,                  0.995,                0.73847,                0.99139,                0.37664,                 1.1806,              0.0001115,              0.0001115,              0.0001115
                     94,                0.68272,                0.33498,                0.97574,                0.99315,                      1,                  0.995,                0.73938,                0.99614,                0.37534,                 1.1813,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.66019,                0.32677,                0.97388,                0.99375,                      1,                  0.995,                0.73085,                0.99784,                0.37335,                 1.1816,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.67394,                0.32928,                0.98979,                0.99433,                      1,                  0.995,                0.73069,                  1.006,                0.37109,                 1.1864,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.66243,                0.32995,                0.98963,                0.99425,                      1,                  0.995,                0.73108,                 1.0097,                0.37413,                 1.1926,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.67287,                0.32531,                0.99731,                0.99406,                      1,                  0.995,                 0.7342,                 1.0079,                0.37457,                 1.1893,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.67166,                0.31911,                 1.0022,                0.99377,                      1,                  0.995,                0.73764,                 1.0034,                0.37394,                 1.1836,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.66054,                0.31838,                0.96856,                0.99326,                      1,                  0.995,                0.73535,                 1.0006,                0.37019,                 1.1796,             2.4875e-05,             2.4875e-05,             2.4875e-05
